country,variable,percentile,year,value
BH,sptinc992j,p90p100,2005,0.5271
BH,sptinc992j,p90p100,2006,0.5299
BH,sptinc992j,p90p100,2007,0.5326
BH,sptinc992j,p90p100,2008,0.5355
BH,sptinc992j,p90p100,2009,0.5384
BH,sptinc992j,p90p100,2010,0.5414
BH,sptinc992j,p90p100,2011,0.5444
BH,sptinc992j,p90p100,2012,0.5475
BH,sptinc992j,p90p100,2013,0.5507
BH,sptinc992j,p90p100,2014,0.5539
BH,sptinc992j,p90p100,2015,0.5572
BH,sptinc992j,p90p100,2016,0.5572
BH,sptinc992j,p90p100,2017,0.5572
BH,sptinc992j,p90p100,2018,0.5572
BH,sptinc992j,p90p100,2019,0.5572
BH,sptinc992j,p90p100,2020,0.5572
BH,sptinc992j,p90p100,2021,0.5572
BH,sptinc992j,p90p100,2022,0.5572
BI,sptinc992j,p90p100,2000,0.4911
BI,sptinc992j,p90p100,2001,0.4846
BI,sptinc992j,p90p100,2002,0.478
BI,sptinc992j,p90p100,2003,0.4714
BI,sptinc992j,p90p100,2004,0.4648
BI,sptinc992j,p90p100,2005,0.4581
BI,sptinc992j,p90p100,2006,0.4514
BI,sptinc992j,p90p100,2007,0.4561
BI,sptinc992j,p90p100,2008,0.4608
BI,sptinc992j,p90p100,2009,0.4654
BI,sptinc992j,p90p100,2010,0.47
BI,sptinc992j,p90p100,2011,0.4746
BI,sptinc992j,p90p100,2012,0.4793
BI,sptinc992j,p90p100,2013,0.4839
BI,sptinc992j,p90p100,2014,0.4839
BI,sptinc992j,p90p100,2015,0.4839
BI,sptinc992j,p90p100,2016,0.4839
BI,sptinc992j,p90p100,2017,0.4839
BI,sptinc992j,p90p100,2018,0.4839
BI,sptinc992j,p90p100,2019,0.4839
BI,sptinc992j,p90p100,2020,0.4839
BI,sptinc992j,p90p100,2021,0.4839
BI,sptinc992j,p90p100,2022,0.4839
BJ,sptinc992j,p90p100,2000,0.4883
BJ,sptinc992j,p90p100,2001,0.4883
BJ,sptinc992j,p90p100,2002,0.4883
BJ,sptinc992j,p90p100,2003,0.4883
BJ,sptinc992j,p90p100,2004,0.4921
BJ,sptinc992j,p90p100,2005,0.496
BJ,sptinc992j,p90p100,2006,0.4998
BJ,sptinc992j,p90p100,2007,0.5037
BJ,sptinc992j,p90p100,2008,0.5075
BJ,sptinc992j,p90p100,2009,0.5114
BJ,sptinc992j,p90p100,2010,0.5152
BJ,sptinc992j,p90p100,2011,0.519
BJ,sptinc992j,p90p100,2012,0.5262
BJ,sptinc992j,p90p100,2013,0.5334
BJ,sptinc992j,p90p100,2014,0.5405
BJ,sptinc992j,p90p100,2015,0.5475
BJ,sptinc992j,p90p100,2016,0.5217
BJ,sptinc992j,p90p100,2017,0.4957
BJ,sptinc992j,p90p100,2018,0.4694
BJ,sptinc992j,p90p100,2019,0.4694
BJ,sptinc992j,p90p100,2020,0.4694
BJ,sptinc992j,p90p100,2021,0.4694
BJ,sptinc992j,p90p100,2022,0.4694
BM,sptinc992j,p90p100,2000,0.3907
BM,sptinc992j,p90p100,2001,0.3995
BM,sptinc992j,p90p100,2002,0.408
BM,sptinc992j,p90p100,2003,0.4164
BM,sptinc992j,p90p100,2004,0.4246
BM,sptinc992j,p90p100,2005,0.4326
BM,sptinc992j,p90p100,2006,0.4404
BM,sptinc992j,p90p100,2007,0.448
BM,sptinc992j,p90p100,2008,0.4554
BM,sptinc992j,p90p100,2009,0.4627
BM,sptinc992j,p90p100,2010,0.4699
BM,sptinc992j,p90p100,2011,0.4718
BM,sptinc992j,p90p100,2012,0.4737
BM,sptinc992j,p90p100,2013,0.4754
BM,sptinc992j,p90p100,2014,0.4771
BM,sptinc992j,p90p100,2015,0.4788
BM,sptinc992j,p90p100,2016,0.4803
BM,sptinc992j,p90p100,2017,0.4818
BM,sptinc992j,p90p100,2018,0.4832
BM,sptinc992j,p90p100,2019,0.4846
BM,sptinc992j,p90p100,2020,0.4859
BM,sptinc992j,p90p100,2021,0.4859
BM,sptinc992j,p90p100,2022,0.4859
BN,sptinc992j,p90p100,2000,0.364
BN,sptinc992j,p90p100,2001,0.364
BN,sptinc992j,p90p100,2002,0.364
BN,sptinc992j,p90p100,2003,0.364
BN,sptinc992j,p90p100,2004,0.364
BN,sptinc992j,p90p100,2005,0.364
BN,sptinc992j,p90p100,2006,0.3606
BN,sptinc992j,p90p100,2007,0.3589
BN,sptinc992j,p90p100,2008,0.3574
BN,sptinc992j,p90p100,2009,0.3588
BN,sptinc992j,p90p100,2010,0.3574
BN,sptinc992j,p90p100,2011,0.3542
BN,sptinc992j,p90p100,2012,0.3544
BN,sptinc992j,p90p100,2013,0.3572
BN,sptinc992j,p90p100,2014,0.362
BN,sptinc992j,p90p100,2015,0.3645
BN,sptinc992j,p90p100,2016,0.368
BN,sptinc992j,p90p100,2017,0.3674
BN,sptinc992j,p90p100,2018,0.3664
